Prev Time,Curr Time,Frame Dur,FrameRate,
103.956938,103.973822,0.01688,59.230077,
103.973822,103.990313,0.01649,60.638945,
103.990313,104.007114,0.01680,59.520675,
104.007114,104.023637,0.01652,60.520061,
104.023637,104.040248,0.01661,60.199880,
104.040248,104.057246,0.01700,58.832192,
104.057246,104.073918,0.01667,59.979839,
104.073918,104.090567,0.01665,60.064190,
104.090567,104.107349,0.01678,59.587791,
104.107349,104.123551,0.01620,61.720519,
104.123551,104.140537,0.01699,58.872184,
104.140537,104.157093,0.01656,60.401643,
104.157093,104.173692,0.01660,60.242918,
104.173692,104.190369,0.01668,59.963689,
104.190369,104.207012,0.01664,60.086184,
104.207012,104.223691,0.01668,59.955617,
104.223691,104.240306,0.01662,60.184773,
104.240306,104.256918,0.01661,60.199880,
104.256918,104.273492,0.01657,60.333849,
104.273492,104.290256,0.01676,59.650494,
104.290256,104.306935,0.01668,59.955617,
104.306935,104.323648,0.01671,59.834801,
104.323648,104.340266,0.01662,60.177804,
104.340266,104.356895,0.01663,60.132539,
104.356895,104.373700,0.01680,59.509314,
104.373700,104.390297,0.01660,60.248739,
104.390297,104.406849,0.01655,60.416859,
104.406849,104.423524,0.01668,59.969456,
104.423524,104.440344,0.01682,59.453710,
104.440344,104.456817,0.01647,60.705062,
104.456817,104.473513,0.01670,59.893422,
104.473513,104.490121,0.01661,60.214995,
104.490121,104.506797,0.01668,59.963689,
104.506797,104.523480,0.01668,59.942937,
104.523480,104.540219,0.01674,59.739644,
104.540219,104.556829,0.01661,60.204530,
104.556829,104.573602,0.01677,59.619696,
104.573602,104.590236,0.01663,60.119784,
104.590236,104.606916,0.01668,59.951006,
104.606916,104.623520,0.01660,60.227790,
104.623520,104.640154,0.01663,60.117466,
104.640154,104.656781,0.01663,60.142978,
104.656781,104.673464,0.01668,59.941785,
104.673464,104.690122,0.01666,60.030653,
104.690122,104.707217,0.01710,58.496632,
104.707217,104.723488,0.01627,61.458939,
104.723488,104.740180,0.01669,59.908383,
104.740180,104.756835,0.01666,60.041057,
104.756835,104.773572,0.01674,59.748802,
104.773572,104.790230,0.01666,60.031808,
104.790230,104.807127,0.01690,59.182855,
104.807127,104.823531,0.01640,60.960250,
104.823531,104.840180,0.01665,60.061876,
104.840180,104.856827,0.01665,60.069977,
104.856827,104.873811,0.01698,58.879967,
104.873811,104.890149,0.01634,61.209180,
104.890149,104.907241,0.01709,58.505414,
104.907241,104.923455,0.01621,61.675344,
104.923455,104.940297,0.01684,59.375586,
104.940297,104.956818,0.01652,60.527111,
104.956818,104.973590,0.01677,59.623116,
104.973590,104.990801,0.01721,58.105259,
104.990801,105.007207,0.01641,60.951908,
105.007207,105.023717,0.01651,60.568265,
105.023717,105.040188,0.01647,60.714519,
105.040188,105.056854,0.01667,60.001771,
105.056854,105.073338,0.01648,60.664903,
105.073338,105.089976,0.01664,60.104717,
105.089976,105.106650,0.01667,59.970609,
105.106650,105.123535,0.01688,59.226701,
105.123535,105.140180,0.01665,60.076922,
105.140180,105.156629,0.01645,60.793838,
105.156629,105.173506,0.01688,59.251463,
105.173506,105.190763,0.01726,57.947588,
105.190763,105.215894,0.02513,39.791865,
105.215894,105.223635,0.00774,129.176831,
105.223635,105.240403,0.01677,59.640224,
105.240403,105.256864,0.01646,60.748826,
105.256864,105.273536,0.01667,59.979839,
105.273536,105.290271,0.01673,59.755673,
105.290271,105.306942,0.01667,59.982147,
105.306942,105.323661,0.01672,59.812992,
105.323661,105.340312,0.01665,60.056092,
105.340312,105.356969,0.01666,60.036432,
105.356969,105.373598,0.01663,60.137178,
105.373598,105.390404,0.01681,59.500229,
105.390404,105.407481,0.01708,58.559258,
105.407481,105.423932,0.01645,60.786727,
105.423932,105.440355,0.01642,60.891198,
105.440355,105.457346,0.01699,58.853292,
105.457346,105.473745,0.01640,60.979327,
105.473745,105.490135,0.01639,61.013933,
105.490135,105.506854,0.01672,59.810697,
105.506854,105.523511,0.01666,60.034120,
105.523511,105.540261,0.01675,59.704180,
105.540261,105.556968,0.01671,59.852031,
105.556968,105.573622,0.01665,60.049152,
105.573622,105.590242,0.01662,60.167352,
105.590242,105.607082,0.01684,59.380109,
105.607082,105.624115,0.01703,58.712540,
105.624115,105.640721,0.01661,60.217321,
105.640721,105.657345,0.01662,60.154582,
105.657345,105.673959,0.01661,60.190583,
105.673959,105.690599,0.01664,60.095449,
105.690599,105.707292,0.01669,59.904930,
105.707292,105.723627,0.01633,61.218795,
105.723627,105.740318,0.01669,59.911837,
105.740318,105.756989,0.01667,59.986763,
105.756989,105.773631,0.01664,60.086184,
105.773631,105.790572,0.01694,59.028228,
105.790572,105.806968,0.01640,60.992449,
105.806968,105.823622,0.01665,60.045682,
105.823622,105.840350,0.01673,59.780880,
105.840350,105.856986,0.01664,60.109352,
105.856986,105.873554,0.01657,60.358378,
105.873554,105.890307,0.01675,59.690464,
105.890307,105.906872,0.01656,60.368896,
105.906872,105.923519,0.01665,60.068819,
105.923519,105.940208,0.01669,59.918745,
105.940208,105.956897,0.01669,59.922200,
105.956897,105.973554,0.01666,60.032964,
105.973554,105.990255,0.01670,59.878469,
